"RMA_ID";"ORDERS_ID";"ORDERITEMS_ID";"TASAS";"TOTALPRODUCT";"TOTALADJUSTMENT";"CATENTRY_ID";"TIPO"
0;576.123.072;501.573.678.439;"8.0";199,9500;0,0000;21.203.524;Textil
0;576.123.072;503.228.819.010;"8.0";169,9500;0,0000;20.422.794;Textil
0;591.160.060;2.485.915.978;"8.0";199,9500;0,0000;15.548.325;Textil
0;591.160.071;2.485.915.995;"8.0";199,9500;0,0000;21.673.429;Textil
0;591.160.094;2.485.916.039;"8.0";239,9500;0,0000;19.581.223;Calzado
0;591.160.107;2.485.916.053;"8.0";129,9500;-6,9500;20.500.495;Textil
0;591.160.109;2.485.916.055;"8.0";199,9500;0,0000;12.751.706;Textil
0;591.160.121;2.485.916.071;"8.0";199,9500;0,0000;18.860.091;Calzado
0;51.568.801.725;503.302.109.918;"8.0";169,9500;0,0000;14.091.739;Textil
107.055.834;51.573.356.243;501.620.620.685;;-790,0000;0,0000;8.448.086;Textil
107.055.834;51.573.356.243;501.622.897.383;;-990,0000;0,0000;8.639.084;Calzado
0;51.575.547.305;502.782.350.228;"8.0";369,9500;0,0000;19.619.485;Calzado
107.090.860;51.593.160.085;501.452.507.023;;-1.590,0000;0,0000;8.154.479;Textil
107.071.018;51.594.001.902;501.591.863.653;;-1.290,0000;0,0000;8.373.790;Calzado
98.627.955;51.597.796.669;502.651.777.474;;-1.890,0000;0,0000;8.707.217;Textil
0;51.604.960.495;503.286.349.438;"8.0";299,9500;0,0000;23.721.937;Textil
107.059.294;51.605.921.101;503.133.818.942;;-2.890,0000;0,0000;12.928.248;Calzado
0;51.608.625.071;503.304.298.792;"8.0";159,9500;0,0000;16.048.851;Calzado
0;51.611.420.545;502.869.111.860;"8.0";89,9500;0,0000;15.000.740;Textil
0;51.611.420.545;503.218.319.138;"8.0";159,9500;0,0000;19.820.296;Textil
0;51.611.420.545;503.261.946.166;"8.0";199,9500;0,0000;21.778.573;Textil
0;51.611.420.545;503.263.842.806;"8.0";299,9500;0,0000;21.384.200;Textil
0;51.611.420.545;503.295.474.556;"8.0";199,9500;0,0000;21.778.733;Textil
0;51.611.420.545;503.295.478.318;"8.0";169,9500;0,0000;21.778.568;Textil
0;51.611.420.545;503.295.478.894;"8.0";199,9500;0,0000;21.778.633;Textil
0;51.611.420.545;503.300.038.686;"8.0";199,9500;0,0000;20.511.350;Textil
0;51.611.420.545;503.301.725.338;"8.0";169,9500;0,0000;12.926.300;Calzado
0;51.611.420.545;503.301.755.148;"8.0";169,9500;0,0000;14.942.293;Textil
107.070.286;51.613.010.467;501.555.635.239;;-2.790,0000;0,0000;14.942.997;Textil
107.061.829;51.613.069.625;501.555.965.709;;-1.190,0000;0,0000;8.035.714;Textil
0;51.613.092.547;503.287.324.384;"8.0";199,9500;0,0000;21.925.777;Textil
107.068.268;51.613.121.565;501.593.422.777;;-590,0000;0,0000;8.426.477;Textil
107.110.193;51.613.127.971;501.566.295.823;;-1.290,0000;0,0000;7.857.276;Calzado
107.071.765;51.613.212.571;501.583.766.937;;-990,0000;0,0000;10.056.090;Textil
107.050.996;51.613.218.447;501.557.120.483;;-1.190,0000;0,0000;20.983.785;Textil
107.064.251;51.613.249.541;501.556.880.199;;-2.590,0000;0,0000;8.488.337;Textil
107.064.251;51.613.249.541;501.556.883.343;;-1.590,0000;0,0000;8.488.736;Textil
107.087.886;51.613.349.287;501.595.614.393;;-250,0000;0,0000;7.994.636;Textil
107.087.886;51.613.349.287;501.606.090.559;;-790,0000;0,0000;8.301.236;Textil
107.116.372;51.613.396.665;501.562.979.459;;-1.990,0000;0,0000;7.861.668;Calzado
107.116.372;51.613.396.665;501.562.979.635;;-1.990,0000;0,0000;7.861.669;Calzado
107.054.696;51.613.412.573;501.617.426.977;;-1.290,0000;0,0000;8.668.497;Textil
107.073.271;51.613.539.871;501.589.087.853;;-2.790,0000;0,0000;19.892.549;Textil
107.073.271;51.613.539.871;501.599.506.113;;-3.990,0000;0,0000;18.895.185;Textil
107.063.090;51.613.550.575;501.626.463.263;;-1.190,0000;0,0000;8.756.402;Textil
107.054.997;51.613.623.823;501.566.011.165;;-590,0000;0,0000;13.237.667;Textil
107.081.226;51.613.791.855;501.559.885.457;;-1.190,0000;0,0000;21.174.711;Textil
107.083.585;51.613.791.855;501.559.899.231;;-1.190,0000;0,0000;12.305.118;Textil
107.063.937;51.613.906.867;501.560.991.381;;-2.790,0000;0,0000;21.384.554;Textil
107.063.937;51.613.906.867;501.560.997.635;;-2.790,0000;0,0000;18.895.965;Textil
107.059.445;51.613.914.769;501.631.887.605;;-2.290,0000;0,0000;20.422.042;Textil
107.059.445;51.613.914.769;501.639.485.123;;-1.190,0000;0,0000;8.645.652;Textil
107.089.554;51.613.917.557;501.560.837.243;;-990,0000;0,0000;13.012.951;Textil
107.070.627;51.613.929.963;501.625.591.869;;-1.190,0000;0,0000;8.239.342;Textil
107.067.742;51.613.940.729;501.560.792.583;;-1.890,0000;0,0000;7.838.982;Textil
107.072.195;51.613.986.307;501.575.519.651;;-1.490,0000;0,0000;8.938.166;Textil
0;51.614.018.895;503.302.235.182;"8.0";25,9500;0,0000;22.283.699;Textil
0;51.614.018.895;503.302.235.642;"8.0";25,9500;0,0000;21.778.686;Textil
0;51.614.018.895;503.302.377.144;"8.0";199,9500;0,0000;18.903.760;Textil
0;51.614.018.895;503.302.391.842;"8.0";299,9500;0,0000;20.726.780;Textil
107.068.411;51.614.019.123;501.572.795.237;;-990,0000;0,0000;8.286.388;Textil
107.068.411;51.614.019.123;501.572.795.895;;-990,0000;0,0000;8.272.731;Textil
107.068.411;51.614.019.123;501.572.796.507;;-990,0000;0,0000;8.272.729;Textil
107.068.411;51.614.019.123;501.572.859.449;;-990,0000;0,0000;7.928.880;Textil
107.049.954;51.614.059.113;501.610.213.695;;-1.890,0000;0,0000;19.067.229;Textil
107.049.954;51.614.059.113;501.610.488.345;;-990,0000;0,0000;13.504.730;Textil
107.049.954;51.614.059.113;501.620.630.407;;-2.890,0000;0,0000;16.420.533;Calzado
107.067.788;51.614.062.447;501.561.471.143;;-2.790,0000;0,0000;16.380.048;Textil
107.056.989;51.614.084.987;501.594.422.609;;-590,0000;0,0000;8.853.081;Textil
106.935.169;51.614.086.127;501.561.584.477;;-1.590,0000;0,0000;8.006.301;Textil
107.067.184;51.614.135.713;501.627.498.527;;-2.790,0000;0,0000;14.258.737;Textil
107.094.550;51.614.152.695;501.625.054.345;;-3.990,0000;0,0000;12.757.160;Calzado
107.067.330;51.614.158.675;501.561.960.485;;-2.290,0000;0,0000;19.928.311;Textil
107.067.330;51.614.158.675;501.561.961.763;;-1.890,0000;0,0000;21.550.933;Textil
107.061.530;51.614.205.585;501.616.356.839;;-1.790,0000;0,0000;14.258.035;Textil
107.061.530;51.614.205.585;501.616.358.527;;-1.790,0000;0,0000;21.163.795;Textil
0;51.614.255.103;501.562.514.899;"8.0";149,9500;0,0000;19.628.686;Calzado
107.064.929;51.614.280.043;501.567.099.771;;-1.790,0000;0,0000;21.162.953;Textil
107.064.929;51.614.280.043;501.586.425.451;;-4.590,0000;0,0000;19.619.468;Calzado
107.064.929;51.614.280.043;501.590.043.701;;-3.990,0000;0,0000;15.192.713;Textil
107.064.929;51.614.280.043;501.590.051.293;;-1.890,0000;0,0000;16.853.891;Textil
107.064.929;51.614.280.043;501.649.673.907;;-3.990,0000;0,0000;19.662.880;Textil
107.059.367;51.614.333.223;501.562.876.739;;-590,0000;0,0000;10.185.929;Textil
107.059.367;51.614.333.223;501.563.193.421;;-590,0000;0,0000;13.120.280;Textil
107.056.707;51.614.358.459;501.616.762.409;;-1.890,0000;0,0000;14.092.291;Textil
0;51.614.369.453;503.260.697.246;"8.0";129,9500;0,0000;12.756.865;Textil
0;51.614.369.453;503.277.229.568;"8.0";299,9500;0,0000;22.118.299;Textil
107.063.915;51.614.389.461;501.563.170.019;;-1.090,0000;0,0000;7.826.153;Textil
107.063.915;51.614.389.461;501.563.215.959;;-1.590,0000;0,0000;7.856.089;Textil
107.063.915;51.614.389.461;501.563.219.619;;-1.590,0000;0,0000;7.856.095;Textil
107.087.363;51.614.389.995;501.617.494.187;;-3.990,0000;0,0000;20.849.681;Textil
107.087.363;51.614.389.995;501.617.496.591;;-2.790,0000;0,0000;20.663.968;Textil
107.116.393;51.614.395.067;501.574.577.017;;-990,0000;0,0000;8.142.281;Textil
107.116.393;51.614.395.067;501.574.577.461;;-990,0000;0,0000;8.329.785;Textil
107.116.393;51.614.395.067;501.574.577.831;;-990,0000;0,0000;8.197.548;Textil
107.065.858;51.614.448.487;501.563.660.015;;-2.890,0000;0,0000;13.857.482;Calzado
107.112.029;51.614.475.115;501.635.826.275;;-2.590,0000;0,0000;14.648.683;Textil
107.053.495;51.614.477.881;501.600.198.503;;-2.380,0000;0,0000;8.227.734;Textil
107.070.309;51.614.490.045;501.630.556.631;;-1.190,0000;0,0000;13.913.137;Textil
107.070.309;51.614.490.045;501.630.569.561;;-1.890,0000;0,0000;8.783.135;Textil
107.054.651;51.614.492.551;501.623.565.289;;-290,0000;0,0000;8.362.438;Textil
107.087.457;51.614.492.615;501.563.703.409;;-2.490,0000;0,0000;20.651.788;Calzado
107.061.976;51.614.494.181;501.597.013.197;;-1.490,0000;0,0000;10.965.274;Calzado
107.061.976;51.614.494.181;501.597.255.919;;-590,0000;0,0000;12.174.013;Textil
107.116.441;51.614.505.541;501.565.715.065;;-1.890,0000;0,0000;8.130.525;Calzado
107.116.441;51.614.505.541;501.565.818.035;;-1.490,0000;0,0000;7.854.043;Calzado
107.063.810;51.614.630.413;501.564.450.883;;-2.590,0000;0,0000;8.624.669;Textil
107.063.810;51.614.630.413;501.564.527.181;;-1.590,0000;0,0000;7.862.680;Textil
107.085.353;51.614.649.265;501.564.529.579;;-990,0000;0,0000;13.456.064;Textil
0;51.614.662.901;503.305.901.318;"8.0";129,9500;0,0000;20.803.454;Textil
0;51.614.782.565;503.236.861.042;"8.0";129,9500;0,0000;20.664.023;Textil
0;51.614.782.565;503.303.345.784;"8.0";199,9500;0,0000;18.271.978;Textil
0;51.614.830.789;503.304.721.616;"8.0";199,9500;0,0000;13.519.202;Calzado
107.095.282;51.614.877.701;501.613.735.953;;-2.890,0000;0,0000;12.928.143;Calzado
107.095.282;51.614.877.701;501.630.973.935;;-2.890,0000;0,0000;12.926.997;Calzado
107.064.932;51.614.885.881;501.565.878.717;;-790,0000;0,0000;8.317.311;Textil
107.064.932;51.614.885.881;501.565.884.031;;-790,0000;0,0000;13.178.198;Textil
107.064.932;51.614.885.881;501.565.896.539;;-990,0000;0,0000;21.483.728;Textil
107.064.932;51.614.885.881;501.565.912.799;;-790,0000;0,0000;14.180.731;Textil
107.064.932;51.614.885.881;501.565.926.683;;-790,0000;0,0000;8.657.321;Textil
